Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Sup Daging Sapi dengan Kacang Panjang,"['Sup', 'Hidangan Utama', 'Makan Siang']",4 porsi,20 menit,1 jam,"['100 gram tomat', '200 gram kacang panjang hijau (dari segar)', '3 siung bawang putih', '1 sdt jahe', '1 mangkok daun bawang', '100 gram iga sapi (potongan kecil, diiris hingga 0.3 cm lemak)', '250 gram daging sapi (95% tanpa lemak / 5% lemak)', '4 sedang bawang merah']","['Cuci bersih daging sapi dan iga sapi, potong kecil-kecil daging dan masak dengan cara 5-30-7 (rebus 5 menit, matikan api, diamkan di atas kompor selama 30 menit, dan lanjutkan proses memasak dengan merebusnya selama 7 menit lagi).', 'Haluskan bawang merah, bawang putih dan jahe.', 'Iris kacang panjang, tomat dan daun bawang.', 'Tumis bumbu halus dengan minyak hingga harum, tambahkan air lalu daging sapi dan iga. Biarkan mendidih.', 'Setelah mendidih, masukkan kacang panjang dan tomat, bumbui dengan garam dan kaldu jamur secukupnya.', 'Jika sudah matang, matikan api dan masukkan daun bawang yang sudah dipotong-potong.']",1031 kj,"9,66g","20,84g","19,89g",246 kkal,"3,678g","0,212g","0,972g","4,1g",56mg,"3,8g",7g,218mg,629mg
Steam Tofu Udang,"['Sup', 'Hidangan Utama', 'Lauk Pauk', 'Makan Pagi', 'Makan Siang']",6 porsi,10 menit,20 menit,"['125 gram udang', '2 sedang telur', '2 gram minyak wijen', '2 siung bawang putih', '1 sdt garam laut', '140 g egg tofu', '3 g kaldu jamur', '9 ml saus rasa tiram']","['Tumis bawang putih cincang pakai minyak wijen.', 'Masukan udang hingga berubah warna.', 'Tambahkan air secukupnya untuk membuat sup.', 'Masukkan tofu hingga semua matang.', 'Masukan garam saus tiram kaldu jamur.', 'Masukan Kocokan telur aduk hingga berserabut. Tambahkan daun bawang (opsional).']",321 kj,"3,94g","8,84g","2,04g",77 kkal,"0,596g",0g,"0,531g","0,763g",105mg,0g,"0,12g",578mg,60mg
Tumis Brokoli Jamur,"['Hidangan Utama', 'Lauk Pauk', 'Makan Siang']",2 porsi,5 menit,15 menit,"['150 gram daging sapi giling', '70 gram brokoli', '13 gram bawang putih', '3 g margarin', '113 gram jamur shimeji', '5 g saos tiram', '5 ml minyak wijen']","['Tumis bawang putih dengan mentega sampai wangi.', 'Masukkan daging dan jamur, masak hingga matang.', 'Masukkan brokoli.', 'Masukkan saus tiram dan minyak wijen, tumis hingga matang.']",1182 kj,"17,9g","22,3g","8,54g",282 kkal,"5,76g",0,"0,439g","6,428g",66mg,"2,4g","1,72g",461mg,594mg
Sop,"['Sup', 'Makan Siang', 'Hidangan Utama', 'Lauk Pauk']",2 porsi,10 menit,20 menit,"['2 1/2 ons, tanpa tulang dada ayam rebus', '1 porsi udang kukus atau rebus', '51 gram brokoli dimasak (dari segar)', '17 gram cabai merah atau rawit', '3 sdt garam', '36 gram kulit ayam', '130 gram wortel', '15 gram bawang putih', '93 gram tomat merah', '2 sdt gula pasir', '15 gram bawang merah', '22 g jamur enoki', '10 g bumbu racik sayur sop', '20 g kaldu jamur', '6 ml minyak goreng']","['Tumis bawang merah, bawang putih, cabai (optional kalau ingin pedas) menggunakan minyak hingga wangi.', 'Masukkan air kedalam tumisan tadi, biarkan sampai air mendidih.', 'Masukan ayam, udang, dan sayur-sayuran kedalam air.', 'Tambahkan garam, gula, dan kaldu, racik sayur sop sesuai selera lalu tunggu hingga matang.']",1477 kj,"14,89g","28,6g","26,47g",353 kkal,"4,051g",0g,"3,205g","4,08g",122mg,6g,"11,2g",5066mg,757mg
Tuna Bruschetta,"['Roti & Produk Panggang', 'Makan Pagi', 'Makanan Pembuka', 'Hidangan Utama']",3 porsi,10 menit,15 menit,"['55 gram tuna dalam air (kalengan)', '3 irisan reguler roti multigrain', '30 g corn kernel', '5 g kaldu jamur', '3 g lada putih bubuk', '40 ml squeeze yogurt original', '15 g mozzarella & cheddar']","['Campurkan tuna, yoghurt, kernel, kaldu jamur dan merica.', 'Oleskan adonan tuna di atas roti multigrain.', 'Letakkan potongan keju diatasnya.', 'Panggang dengan airfryer selama 15 menit.']",538 kj,"2,7g","8,67g","17,41g",129 kkal,"1,086g",0g,"0,302g","0,425g",6mg,"1,7g","4,25g",302mg,115mg
Oatmeal Goreng,"['Makan Pagi', 'Hidangan Utama']",1 porsi,10 menit,15 menit,"['1 besar telur', '3 gram cabai merah atau rawit', '2 siung bawang putih', '10 gram selada air', '1 sedang wortel bayi', '3 kecil bawang merah', '1 sdm minyak goreng', '35 g instant oatmeal']","['Panaskan frypan, masukan minyak lalu tumis bawang merah, bawang putih, sama cabe.', 'Setelah layu masukan telur tumis sampai mateng.', 'Masukan wortel tumis sampai layu.', 'Setelah layu masukkan oatmeal aduk sampai tercampur, tambahkan air sedikit agar dy bisa tercampur.', 'Tambahkan selada air atau sayuran pilihan lainnya.']",1741 kj,"19,21g","14,25g","50,24g",416 kkal,"6,213g",0g,"6,088g","4,538g",212mg,7g,"10,24g",90mg,510mg
Udang Nori,['Lauk Pauk'],5 porsi,10 menit,25 menit,"['70 gram udang', '1/2 sdt garam', '2 sdt minyak wijen', '20 gram wortel', '20 gram daun bawang', '1 takaran stevia sweetener', '1 bungkus rumput laut panggang (nori)', '1 porsi kaldu jamur', '1 takaran lada putih bubuk']","['Siapkan bahan, cincang udang dan bawang daun serta parut wortel dengan parutan keju.', 'Masukan semua bahan kedalam wadah beri minyak jijen dan bumbu penyedap( garam, merica, kaldu jamur, pemanis stevia secukupnya ).', 'Aduk hingga semua tercampur rata.', 'Potong nori segi panjang menjadi beberapa bagian, disisi lain panaskan teflon dengan olesan sedikit minyak wijen.', 'Taruh nori diatas teflon, lapisi dengan adonan hingga nori tertutup. Tutup teflon, Panggang dengan api yg  sangat kecil.', 'Jika sudah hampir matang, balikkan perlahan.', 'Sajikan di piring dengan nasi dan sayuran pilihan.']",197 kj,"2,56g","4,17g","1,61g",47 kkal,"0,321g",0g,"0,889g","0,764g",29mg,"0,4g","0,34g",327mg,45mg
Chicken Ramen Shirataki,"['Makan Siang', 'Sup', 'Hidangan Utama']",1 porsi,10 menit,15 menit,"['100 gram dada ayam (kulit tidak dimakan)', '50 gram kecambah', '50 gram wortel', '1 siung bawang putih', '40 gram tomat merah', '1 gelas air', '1 kecil bawang merah', '50 g mie kering', '3 g royco kaldu rasa sapi', '1 ml minyak goreng']","['Iris ayam hingga tipis tipis.', 'Potong-potong tomat dan wortel sesuai keinginan.', 'Cincang bawang merah dan bawang putih.', 'Panaskan minyak kemudian tumis bawang merah, bawang putih, dan tomat.', 'Masukkan air dan tunggu hingga hampir mendidih.', 'Masukkan ayam dan royco perlahan.', 'Ketika ayam sudah matang, keluarkan ayam dari rebusan.', 'Masukkan sayuran dan mie shirataki. Tunggu hingga matang!']",1782 kj,"4,95g","34,2g","60,77g",426 kkal,"1,479g",0g,"1,057g","1,294g",84mg,"10,1g","15,27g",560mg,676mg
Stir Fry Asparagus,"['Lauk Pauk', 'Makanan Pembuka']",2 porsi,10 menit,15 menit,"['120 gram asparagus', '1 siung bawang putih', '2 ml minyak goreng tropical']","['Rebus asparagus hingga agak lunak.', 'Tumis bawang putih dengan sedikit minyak.', 'Masukkan asparagus yang telah direbus.', 'Tumis asparagus dengan bawang putih dan tunggu hingga matang.', 'Hidangan siap disantap.']",92 kj,"0,97g","1,42g","2,82g",22 kkal,"0,419g",0,"0,166g","0,394g",0mg,"1,3g","1,14g",2mg,127mg
Jus Apel Pepaya,['Minuman'],1 porsi,5 menit,0 menit,"['1 sedang apel (tanpa kulit)', '1 mangkok, potong dadu pepaya', '1 sachet pemanis klasik', '1/4 sachet rasa leci', '1 gelas susu uht low fat']","['Masukkan semua bahan ke dalam blender.', 'Blender hingga halus. Pindahkan ke gelas.', 'Tambahkan jeli, jika diinginkan.']",925 kj,"2,87g","8,2g","46,06g",221 kkal,"1,587g",0g,"0,09g","0,059g",10mg,"5,2g","22,19g",109mg,825mg
Pizza,"['Makanan Ringan', 'Lainnya']",8 porsi,1 jam 30 menit,30 menit,"['5 gram ragi', '1 sdm margarin', '1 sdm mayones ringan', '20 gram gula pasir', '100 gram bawang bombay', '1/2 cup spaghetti sauce', '150 g tepung segitiga biru', '3 porsi beef frank', '1 porsi sosis bratwurst']","['Campur air hangat dengan ragi dan gula.', 'Tambahkan tepung terigu dan margarin. Aduk rata dan uleni adonan hingga kalis. Diamkan selama 1 jam hingga mengembang.', 'Gulung adonan, taruh di atas loyang dan tusuk dengan garpu.', 'Oleskan saus spageti. Tambahkan irisan sosis, daging sapi, mayones dan bawang bombay. Taburi dengan peterseli dan oregano, jika diinginkan.', 'Diamkan selama 15 menit selagi oven dipanaskan terlebih dahulu.', 'Panggang dalam oven selama 30 menit dengan suhu 140°C.']",602 kj,"3,81g","6,25g","21,91g",144 kkal,"1,284g","0,002g","0,785g","0,534g",6mg,"0,7g","4,34g",144mg,31mg
Salad Mentimun dengan Coleslaw,['Salad dan Salad Dressing'],1 porsi,15 menit,15 menit,"['195 gram selada kol', '135 gram jagung rebus', '155 gram mentimun (dengan kulit)', '142 gram kentang rebus', '35 g mayonnaise roasted sesame']","['Cuci semua sayuran dengan air mengalir.', 'Potong sayuran sesuai keinginan.', 'Rebus air hingga mendidih lalu rebus jagung dan kentang. Biarkan agak dingin.', 'Campur semua sayuran dalam mangkuk dan tambahkan sisa bahan.', 'Pindahkan ke mangkuk dan sajikan.']",2197 kj,"18,06g","10,39g","88,56g",525 kkal,"3,325g",0g,"3,248g","1,681g",16mg,"10,1g","8,68g",222mg,1458mg
Pancake Pisang,['Makan Pagi'],1 porsi,8 menit,10 menit,"['1 besar telur', '100 gram pisang', '25 g instant oatmeal']","['Hancurkan pisang dengan garpu.', 'Tambahkan sisa bahan, lalu aduk hingga rata.', 'Panaskan pan anti lengket dengan api kecil.', 'Tuang sebagian adonan. Masak kedua sisi. Ulangi sampai adonan habis.']",1100 kj,"7,8g","10,95g","40,36g",263 kkal,"2,022g",0g,"1,465g","3,007g",212mg,"4,7g","12,61g",71mg,425mg
Oseng Toge Tahu Telur,['Lauk Pauk'],1 porsi,10 menit,20 menit,"['118 gram telur', '65 gram kecambah', '5 gram cabai merah atau rawit', '20 gram bawang putih', '3 gram jahe', '1 sdm minyak goreng', '130 gram tahu', '5 g kaldu jamur', '1 sdm kecap manis']","['Potong dadu tahu, masukkan dalam wadah.', 'Kocok lepas telur, tuang kedalam tahu.', 'Panaskan minyak, tumis bawang putih, cabe rawit dan jahe hingga harum.', 'Tuang tahu dan telur, aduk-aduk hingga telur matang.', 'Masukkan toge, aduk aduk.', 'Bumbui dengan kecap manis dan kaldu jamur, tambahkan air sedikit.', 'Masak sampai bumbu meresap.', 'Oseng toge tahu telur siap disajikan.']",2038 kj,"29,7g","29,79g","29,12g",487 kkal,"8,635g",0,"8,229g","8,908g",499mg,"3,7g","14,59g",593mg,621mg
Tumis Pokcoy Saus Tiram,"['Lauk Pauk', 'Makanan Pembuka']",3 porsi,8 menit,10 menit,"['30 gram cabai merah atau rawit', '100 gram saus tiram', '3 siung bawang putih', '5 kecil bawang merah', '3 sdm minyak goreng', '100 gram pakcoy']","['Cuci bersih pokcoy, potong potong sesuai selesai.', 'Kupas bawang merah, bawang putih, dan cabai. Cuci bersih, lalu iris tipis dan memanjang untuk cabai.', 'Panaskan minyak dalam wajan, masukan bawang merah dan bawang putih tunggu hingga harum, masukan cabai tunggu wangi.', 'Masukan pokcoy aduk aduk.', 'Masukan saus tiram, tambahkan air sedikit.', 'Tunggu hingga matang, makanan siap disajikan.']",816 kj,"11,94g","3,13g","22,77g",195 kkal,"4,378g",0,"4,95g","1,329g",0mg,"4,8g","6,43g",921mg,439mg
Bubur Ayam Merah,"['Hidangan Utama', 'Makan Pagi']",1 porsi,10 menit,20 menit,"['30 gram dada ayam rebus (kulit tidak dimakan)', '1 kecil telur', '100 gram nasi merah', '1 gelas kaldu ayam', '10 gram daun bawang', '10 gram kacang sangrai kering (dengan garam)', '1 sdt gula pasir', '2 sdt fiber creme']","['Membuat telur dadar. Gulung dan potong. Sisihkan untuk digunakan nanti.', 'Rebus dada ayam bersama bawang putih, daun salam dan garam secukupnya hingga matang. Tiriskan lalu suwir-suwir dagingnya.', 'Hancurkan beras merah dan rebus dengan kaldu ayam, tambahkan serat creme, gula dan garam secukupnya.', 'Tuang bubur ke dalam mangkuk. Tambahkan ayam suwir, kacang tanah sangrai, irisan telur dadar untuk topping dan taburi daun bawang.']",1385 kj,"12,76g","19,3g","36,34g",331 kkal,"4,345g",0g,"2,706g","4,627g",180mg,"4,8g","5,64g",1344mg,257mg
Pokcoy Ayam Saus Tiram,"['Makan Siang', 'Hidangan Utama']",1 porsi,5 menit,5 menit,"['1 sejumput lada hitam', '200 gram daging dada ayam (ayam pedaging)', '1 siung bawang putih', '1 sdt jahe', '100 ml air', '150 gram pakcoy', '15 ml kecap manis light', '10 g tepung pati jagung', '15 g saos tiram', '1 bawang bombay']","['Larutkan maizena dengan sedikit air.', 'Didihkan air dan rebus pokcoy selama 2 menit. Hapus dari panas dan tiriskan.', 'Dalam wajan panas, tumis bawang putih, jahe, dan bawang bombay hingga harum.', 'Masukkan ayam yang sudah dipotong-potong ke dalam wajan dan masak hingga berubah warna.', 'Tambahkan saus tiram, kecap asin, merica, air, dan tepung maizena yang sudah dilarutkan.', 'Aduk, biarkan bumbu meresap dan angkat dari api.', 'Tata pokcoy di piring dan tuangkan di atas ayam yang sudah dimasak.']",1368 kj,"2,66g","47,66g","25,38g",327 kkal,"0,696g","0,05g","0,633g","0,621g",116mg,"1,6g","11,15g",1001mg,762mg
Chicken Deopbap,"['Hidangan Utama', 'Makan Siang']",1 porsi,10 menit,15 menit,"['1 kecil chicken thigh', '1 sedang egg', '1 sdm soy sauce', '1 kecil young green onions', '1 1/2 cups cooked young green onion']","['Tumis ayam tanpa minyak sampai kecoklatan.', 'Masukan bawang bombay, tumis sampai layu dgn ayam td, masukan air secukupnya tunggu mendidih.', 'Masukan telur yg sudah dikocok lepas, lalu masukan kecap asin dan daun bawang. Bumbui dengan garam dan merica sesuai selera. Tutup wajan sampai telur matang.']",1791 kj,"25,95g","26,48g","26,96g",428 kkal,"6,178g",0,"6,378g","11,016g",237mg,"8,9g","8,59g",1655mg,1069mg
Kwetiau Ayam,['Hidangan Utama'],1 porsi,15 menit,10 menit,"['15 gram dada ayam', '2 gram bawang bombay dimasak', '1/2 sdt garam', '2 ml minyak goreng', '100 gram kwetiau', '1 sendok saus sambal', '2 sdm kecap manis']","['Panaskan minyak dalam wajan dan tumis bawang bombay.', 'Masukkan ayam yg sudah di potong, lalu tumis sebentar.', 'Tambahkan kwetiau dan bumbunya.', 'Campur dengan baik. Angkat dari api setelah selesai. Tambahkan lauk yang diinginkan.']",1347 kj,"9,43g","9,9g","48,97g",322 kkal,"1,895g",0,"2,619g","4,215g",16mg,"0,5g","23,91g",2387mg,163mg
Tumis Toge,"['Lainnya', 'Lauk Pauk']",1 porsi,5 menit,10 menit,"['100 gram kecambah', '2 siung bawang putih', '1 takaran royco ayam']","['Iris bawang putih dan tumis di atas api yang panas tanpa minyak.', 'Tambahkan taoge dan penyedap rasa sesuai selera. Campur dengan baik.', 'Tumis hingga matang.']",159 kj,"0,51g","3,97g","6,67g",38 kkal,"0,064g",0g,"0,277g","0,043g",0mg,"2,3g","1,9g",567mg,132mg
Ampyang,"['Makanan Penutup', 'Makanan Ringan']",20 porsi,20 menit,30 menit,"['300 gram kacang sangrai kering (tanpa garam)', '166 gram gula merah', '63 gram gula pasir']","['Masukkan gula merah, gula pasir dan air ke dalam panci. Aduk hingga mengental dan gula larut.', 'Buang kulit kacang panggang dan masukkan ke dalam wajan.', 'Matikan api. Aduk hingga adonan ampyang benar-benar mengental dan matang.', 'Ambil satu sendok makan campuran ampyang. Tuang di atas kertas lalu bentuk menjadi bentuk datar atau bulat. Lakukan hingga adonan habis.', 'Biarkan dingin dan mengeras lalu simpan di toples kedap udara.']",550 kj,"7,47g","3,56g","14,47g",132 kkal,"1,037g",0,"2,362g","3,708g",0mg,"1,2g","11,76g",4mg,128mg
Semur Tahu,"['Makan Siang', 'Hidangan Utama']",2 porsi,15 menit,10 menit,"['2 siung bawang putih', '1 utuh sedang tomat merah', '1 gelas air', '3 kecil bawang merah', '100 gram tahu', '2 sdm kecap manis', '2 sendok saus sambal', '1 takaran royco ayam', '1 sendok makan minyak goreng sawit', '20 gram cabai merah besar']","['Dalam wajan panas dengan minyak, tumis bawang putih, bawang merah, dan cabai merah.', 'Tambahkan tomat cincang, air dan kecap.', 'Terakhir masukkan tahu dan saus sambal. Campur dengan baik.', 'Masak hingga kental dan tambahkan royco. Aduk dan pindahkan ke dalam mangkuk.']",885 kj,"7,22g","5,84g","32,8g",212 kkal,"2,35g",0g,"1,429g","3,304g",0mg,"2,5g","21,27g",860mg,394mg
Tumis Tahu Telur Wortel,"['Hidangan Utama', 'Lauk Pauk', 'Makan Siang']",1 porsi,5 menit,15 menit,"['100 gram kacang panjang hijau', '1 besar putih telur', '100 gram wortel', '1 siung bawang putih', '1 utuh sedang tomat merah', '2 kecil bawang merah', '100 gram tahu']","['Tumis bawang putih bawang merah dan bawang putih yang sudah dicincang halus.', 'Masukkan tomat yang sudah di iris.', 'Tumis sampai layu dan wangi tambahkan, garam secukupnya.', 'Kemuadian masukkan air sedikit lalu masukkan tahu dan putuh telur.', 'Setelah itu masukkan kacang dan wortel tumis sampai matang.']",1054 kj,"5,75g","16,88g","39,01g",252 kkal,"0,738g",0g,"1,955g","2,606g",0mg,"10,1g","15,85g",151mg,1207mg
Bagel,['Roti & Produk Panggang'],6 porsi,2 jam,30 menit,"['0,4 sdm,kering ragi', '1 sdt garam', '190 ml air', '10 gram madu', '10 gram gula pasir', '1 sdm minyak goreng', '300 g tepung terigu cakra kembar', '50 g tepung terigu kunci biru']","['Campur semua bahan kecuali minyak dan uleni selama 2 menit.', 'Tambahkan minyak lalu uleni kembali adonan hingga kalis. Biarkan mengembang selama 1 jam.', 'Bagi adonan menjadi 6 bagian, diamkan selama 15 menit.', 'Bentuk menjadi bagel dan diamkan selama 40 menit lagi.', 'Rebus air dalam panci, tambahkan gula merah, saat mendidih tambahkan campuran bagel dan didihkan setiap sisi selama 20 detik.', 'Taruh di atas loyang. Panggang dalam oven dengan suhu 180°C selama 20 menit.']",975 kj,"2,29g","7,06g","46,76g",233 kkal,"0,672g",0,"0,667g","0,187g",0mg,"0,2g","3,03g",394mg,17mg
Tahu Goreng Telur,"['Lauk Pauk', 'Makanan Pembuka', 'Hidangan Utama']",8 porsi,10 menit,20 menit,"['2 sedang telur', '1 sdm cabai merah atau rawit', '5 sdt garam', '2 siung bawang putih', '4 sedang bawang merah', '250 gram tahu', '1 takaran royco ayam', '125 ml minyak goreng 2x penyaringan']","['Haluskan bawang merah, bawang putih, dan cabai. Campur mereka dengan baik.', 'Tahu dihaluskan lalu masukkan semua bahan kecuali minyak.', 'Panaskan minyak dalam wajan dan goreng sampai berwarna cokelat keemasan.']",789 kj,"16,69g","4,51g","6,92g",188 kkal,"6,635g",0g,"0,716g","1,229g",46mg,"1,1g","2,65g",1544mg,148mg
Sup Telur Pedas,"['Lauk Pauk', 'Hidangan Utama', 'Makan Pagi', 'Makan Siang']",2 porsi,5 menit,10 menit,"['2 besar telur rebus', '1 gram kaldu jamur', '3 sdm cabai merah atau rawit', '1 sdt garam', '100 gram brokoli', '1 siung bawang putih', '2 gelas air', '2 kecil bawang merah', '5 sdm minyak goreng', '100 gram sawi hijau']","['Haluskan cabe dan bawang merah, bawang putih lalu tumis dengan minyak goreng.', 'Lalu masukkan air, tunggu mendidih dan masukkan telur agar matang, serta garam dan kaldu jamur.', 'Saat telur sudah matang, masukkan sayuran dan tunggu hingga matang sesuai selera.']",1600 kj,"32,01g","10,12g","17,04g",382 kkal,"11,938g",0,"11,484g","4,778g",211mg,5g,"5,83g",1366mg,614mg
Cumi Lada Hitam,"['Hidangan Utama', 'Makan Siang']",4 porsi,5 menit,15 menit,"['300 gram cumi-cumi', '50 ml air', '2 tomat ceri', '1 sendok makan minyak goreng', '100 gram bawang bombay', '1 sendok saus lada hitam', '50 gram cabai merah besar']","['Belah bawang bombay menjadi dua dan Iris memanjang setengahnya dan tumis dengan minyak sampai harum.', 'Masukan cumi, cabai, saos lada hitam dan air.', 'Kemudian masukan tomat tumis semuanya hingga masak.']",448 kj,"3,36g","12,17g","6,46g",107 kkal,"1,282g",0g,"0,687g","1,092g",175mg,"0,6g","2,26g",100mg,272mg
Bubur Ayam Oatmeal,"['Hidangan Utama', 'Minuman']",1 porsi,10 menit,15 menit,"['100 gram dada ayam', '1 sdt minyak wijen', '1 siung bawang putih', '1 sdt jahe', '1 iris daun bawang', '20 gram sereh', '1 kecil bawang merah', '35 g instant oatmeal']","['Tumis baput bawang merah, bawang putih sereh dan jahe.', 'Masukkan ayam, tumis sebentar.', 'Tambahkan air, masak hingga mendidih.', 'Masukkan oatmeal. Bumbui dengan garam, merica, kaldu jamur (optional).', 'Tambahkan minyak wijen.', 'Masak hingga tekstur sesuai yg di inginkan.', 'Taburi dengan daun bawang saat disajikan.']",1816 kj,"15,94g","35,87g","38,34g",434 kkal,"3,362g",0g,"4,619g","6,321g",83mg,"4,2g","3,29g",398mg,520mg
Tumis Tahu dan Tuna,"['Lauk Pauk', 'Hidangan Utama']",1 porsi,5 menit,15 menit,"['10 gram cabai merah atau rawit', '1/2 sdt garam', '2 siung bawang putih', '2 kecil bawang merah', '57 1/2 gram tahu', '43,8 gram ikan tongkol', '1 sdm minyak kanola', '1 takaran royco ayam']","['Iris semua cabai, bawang merah dan bawa putih. Lalu tumis dengan minyak kanola.', 'Potong dadu tahu dan suwir ikan tongkol. Lalu, masukan ke bumbu yang sudah di tumis.', 'Tumis dan masukan garam serta royco secukupnya. Lalu hidangkan.']",1310 kj,"18,11g","17,9g",23g,313 kkal,"1,803g",0g,"5,443g","9,809g",18mg,5g,"7,33g",1783mg,669mg
Bulgogi,['Hidangan Utama'],2 porsi,40 menit,15 menit,"['250 gram daging sapi', '1 sejumput lada hitam', '3 sdm saus tiram', '10 sdm saus tomat', '70 ml kecap manis', '3 g lada putih bubuk', '20 ml minyak goreng', '100 gram bawang bombay', '15 ml kecap asin']","['Iris tipis daging sapi dan bawang bombay. Masukkan ke dalam mangkuk dan tambahkan semua bumbu.', 'Marinasi selama 30 menit atau semalaman.', 'Dalam wajan yang sudah dipanaskan sebelumnya, tumis daging sapi yang sudah diasinkan, sering diaduk atau dibalik sesering yang Anda suka sampai matang.', 'Sajikan dengan telur dan beberapa sayuran.']",2948 kj,"33,82g","35,52g","65,6g",704 kkal,"13,728g",0g,"2,048g","14,515g",109mg,1g,"51,62g",3470mg,764mg
Tumis Timun dan Ayam,['Lauk Pauk'],1 porsi,3 menit,7 menit,"['1 sejumput garam', '50 gram daging paha dan kulit ayam (ayam pedaging)', '80 gram mentimun (dengan kulit)', '5 ml kecap manis', '1 sdm minyak kanola', '1/2 takaran royco ayam', '1 sejumput lada putih bubuk']","['Goreng ayam dalam minyak canola sampai berwarna cokelat keemasan.', 'Tambahkan mentimun potong dadu dan bumbu.', 'Aduk hingga harum dan merata.', 'Pindahkan ke piring dan sajikan dengan nasi, opsional.']",987 kj,"17,43g","10,16g","8,93g",236 kkal,"2,222g",0g,"4,512g","9,687g",40mg,"0,4g","5,98g",622mg,221mg
Tumis Kangkung,['Lauk Pauk'],1 porsi,5 menit,8 menit,"['1/2 gram cabai merah atau rawit', '10 gram bawang putih', '9 gram bawang merah', '3 ml minyak goreng', '60 gram kangkung']","['Tumis bawang merah dan bawang putih smpai harum dalam minyak goreng.', 'Masukan cabai dan kangkung.', 'Tumis hingga layu.']",243 kj,"3,09g","2,29g","6,41g",58 kkal,"1,15g",0,"1,25g","0,292g",0mg,"1,6g","0,76g",44mg,357mg
Tumis Telur Tahu,['Lauk Pauk'],1 porsi,10 menit,20 menit,"['1 besar telur', '50 gram kecambah', '10 gram kaldu jamur', '10 gram daun bawang', '50 gram bayam', '50 gram tempe', '1 sdt bawang putih cincang', '70 gram tahu', '1 sdm sambal goreng', '2 g royco ayam']","['Tumis baput, bawang putih cincang dan saus sambal lalu masukkan potongan tempe dan tumis hingga harum.', 'Kocok telur dan tahu.', 'Tambahkan ke tumisan, lalu aduk hingga telur dan tahu sedikit menggumpal. Tambahkan sedikit air.', 'Tambahkan tauge, daun bawang dan bayam lalu tambahkan lebih banyak air jika perlu.', 'Tambahkan bumbu kaldu jamur dan sedikit royco. Tumis hingga semuanya matang.', 'Angkat dan sajikan.']",1163 kj,"14,74g","26,23g","15,09g",278 kkal,"3,178g",0g,"4,031g","5,364g",220mg,"2,8g","2,79g",959mg,761mg
Bubur Ayam Oatmeal,"['Makan Siang', 'Makan Pagi']",1 porsi,10 menit,10 menit,"['50 gram dada ayam rebus (kulit tidak dimakan)', '1 sedang telur rebus', '1 sejumput lada hitam', '1 sejumput garam', '30 g instant oatmeal', '30 g sayur toge', '3 ml kecap manis', '2 g royco ayam']","['Rebus dada ayam di wajan sampai matang. Setelah selesai, tiriskan dan simpan sisa airnya untuk digunakan nanti. Sisihkan ayam rebus.', 'Masukkam oatmeal kedalam wajan yg berisi air sisa rebusan ayam tadi dan aduk terus.', 'Tambahkan toge, lalu aduk kembali. Tambahkan merica, garam dan penyedap rasa.', 'Jika sudah matang, angkat dan masukkan ke dalam mangkuk.', 'Suwir-suwir ayam yang sudah dimasak dan taruh di mangkuk sebagai topping dengan telur rebus.']",1297 kj,"9,15g","34,37g","24,33g",310 kkal,"2,284g",0g,"1,809g","3,589g",224mg,"2,6g","3,27g",1115mg,149mg
Ayam Saos Tiram,['Lauk Pauk'],2 porsi,10 menit,15 menit,"['500 gram dada ayam', '1 sejumput lada hitam', '20 gram cabai merah atau rawit', '4 sdm saus tiram', '5 siung bawang putih', '10 gram daun bawang', '3/4 gelas air', '1 sejumput garam laut', '1 sdm minyak goreng', '1 sdm kecap manis', '1 sedang bawang bombay', '22 g saus sambal', '10 g lengkuas']","['Potong semua bahan.', 'Rebus air hingga mendidih lalu masak ayam. Sisihkan saat Anda selesai.', 'Dalam wajan yang sudah dipanaskan, tumis bawang bombay lalu tambahkan cabai dan lengkuas. Aduk dan tambahkan sisa bumbu dan rempah-rempah.', 'Masukkan ayam dan tambahkan sedikit air.', 'Tambahkan daun bawang cincang halus. Aduk rata.']",2799 kj,"26,24g","76,66g","29,58g",669 kkal,"7,796g",0g,"7,047g","8,34g",208mg,"3,9g","12,64g",2529mg,955mg
Spaghetti Gandum dengan Saus Tomat,['Hidangan Utama'],1 porsi,5 menit,10 menit,"['1 besar telur', '50 gram spageti gandum', '100 gram saus spageti tanpa daging', '1 siung bawang putih', '1 gelas air', '1 kecil bawang merah', '20 ml susu uht low fat']","['Rebus air hingga mendidih beri sedikit garam. Masak spaghetti gandum dan tiriskan dalam saringan.', 'Tumis bawang bombay di atas granite teflon, tambahkan saus spageti tomat dan aduk rata.', 'Tambahkan spageti dan aduk. Tambahkan air sedikit demi sedikit.', 'Tambahkan telur dan susu rendah lemak dan aduk sampai sedikit mengental.', 'Pindahkan ke piring dan sajikan dengan mentimun, opsional.']",1054 kj,"7,95g","12,42g","34,01g",252 kkal,"2,095g",0g,"1,786g","2,721g",213mg,"3,8g","12,69g",686mg,613mg
